subj	subexpt	semint	related	n2num	errnd	errd	errcornd	errcord
127	Cat	unint	unrel	sing	0	0	1	1
128	Cat	unint	rel	plur	0	0	5	5
128	Cat	unint	rel	sing	0	0	3	3
128	Cat	unint	unrel	plur	0	0	5	5
128	Cat	unint	unrel	sing	0	0	6	6
129	Cat	unint	rel	plur	0	1	2	3
129	Cat	unint	rel	sing	0	0	1	1
129	Cat	unint	unrel	plur	1	1	2	2
129	Cat	unint	unrel	sing	0	0	3	3
130	Cat	unint	rel	plur	0	0	3	3
130	Cat	unint	rel	sing	0	0	5	5
130	Cat	unint	unrel	plur	0	0	2	3
130	Cat	unint	unrel	sing	0	0	4	4
131	Cat	unint	rel	plur	0	0	4	4
131	Cat	unint	rel	sing	0	0	4	4
131	Cat	unint	unrel	plur	0	0	3	3
131	Cat	unint	unrel	sing	0	0	4	4
132	Cat	unint	rel	plur	0	0	6	6
132	Cat	unint	rel	sing	0	0	4	4
132	Cat	unint	unrel	plur	0	0	4	4
132	Cat	unint	unrel	sing	0	0	4	4
133	Cat	unint	rel	plur	1	1	3	3
133	Cat	unint	rel	sing	0	0	2	2
133	Cat	unint	unrel	plur	0	0	2	2
133	Cat	unint	unrel	sing	0	0	4	4
134	Cat	unint	rel	plur	0	0	2	2
134	Cat	unint	rel	sing	0	0	4	4
134	Cat	unint	unrel	plur	0	0	0	0
134	Cat	unint	unrel	sing	0	0	2	2
